0,10%
0,08%
0,09%
0,09%
0,09%
0,10%
0,10%
0,11%
0,11%
0,11%
0,12%
0,12%
0,13%
0,13%
0,14%
0,14%
0,15%
0,16%
0,16%
0,17%
0,18%
0,18%
0,19%
0,20%
0,21%
0,21%
0,22%
0,23%
0,24%
0,25%
0,26%
0,27%
0,28%
0,29%
0,31%
0,32%
0,33%
0,34%
0,36%
0,37%
0,39%
0,40%
0,42%
0,43%
0,45%
0,47%
0,49%
0,51%
0,53%
0,55%
0,57%
0,59%
0,62%
0,64%
0,67%
0,70%
0,72%
0,75%
0,78%
0,81%
0,85%
0,88%
0,92%
0,95%
0,99%
1,03%
1,07%
1,11%
1,16%
1,21%
1,25%
1,30%
1,36%
1,41%
1,47%
1,53%
1,59%
1,65%
1,72%
1,79%
1,86%
1,93%
2,01%
2,09%
2,17%
2,26%
2,35%
2,44%
2,54%
2,64%
2,75%
2,86%
2,97%
3,09%
3,22%
3,35%
3,48%
3,62%
3,76%
3,91%
